,ru,en
TK_LIKE_00_NAME,спасибо вам!,thank you!
TK_LIKE_01_NAME,люблю вас!,love you!
TK_LANGUAGE_NAME,язык,language
TK_SETTINGS_NAME,настройки,settings
TK_GIFT_NAME,подарок,gift
TK_RATE_NAME,оценить,rate
TK_ACHIEVEMENTS_NAME,достижения,achievements
TK_STORE_NAME,лавка коинов,coins store
TK_DOUBLE_COIN_NAME,коин удвоитель,double coin
TK_COINS_PACK_00_NAME,3 000 коинов,3 000 coins
TK_COINS_PACK_01_NAME,15 000 коинов,15 000 coins
TK_DAY_NAME,день,day
TK_HOUR_NAME,час,hour
TK_DAILY_GIFT_NAME,ежедневный бонус,daily gift
TK_GENERAL_STATISTICS_NAME,основная статистика,general statistics
TK_PLAYED_GAMES_ALL_NAME,игр всего,games total
TK_SKIN_STATISTICS_NAME,статистика скина,skin statistics
TK_PLAYED_GAMES_SKIN_NAME,игр,games
